Location,Date,Year,Month,NewCases,NewDeaths,HospitalPatients,Vaccinations
Bahamas,13/08/2020 00:00,2020,August,53,0,,
Barbados,13/08/2020 00:00,2020,August,0,0,,
Belarus,13/08/2020 00:00,2020,August,101,4,,
Belgium,13/08/2020 00:00,2020,August,544,16,309,
Belize,13/08/2020 00:00,2020,August,86,0,,
Bolivia,13/08/2020 00:00,2020,August,1388,57,,
Bosnia and Herzegovina,13/08/2020 00:00,2020,August,223,5,,
Brazil,13/08/2020 00:00,2020,August,60091,1262,,
Bulgaria,13/08/2020 00:00,2020,August,0,0,834,
Canada,13/08/2020 00:00,2020,August,477,6,268,
Chile,13/08/2020 00:00,2020,August,1866,94,,
Colombia,13/08/2020 00:00,2020,August,11286,308,,
Costa Rica,13/08/2020 00:00,2020,August,1072,9,,
Croatia,13/08/2020 00:00,2020,August,180,1,115,
Cuba,13/08/2020 00:00,2020,August,46,1,,
Cyprus,13/08/2020 00:00,2020,August,14,0,3,
Czechia,13/08/2020 00:00,2020,August,326,0,106,
Denmark,13/08/2020 00:00,2020,August,167,0,13,
Dominica,13/08/2020 00:00,2020,August,0,,,
Dominican Republic,13/08/2020 00:00,2020,August,910,22,,
Ecuador,13/08/2020 00:00,2020,August,1233,26,,
El Salvador,13/08/2020 00:00,2020,August,349,7,,
Estonia,13/08/2020 00:00,2020,August,0,0,8,
Finland,13/08/2020 00:00,2020,August,41,0,,
France,13/08/2020 00:00,2020,August,2678,17,4824,
Germany,13/08/2020 00:00,2020,August,1422,4,,
Greece,13/08/2020 00:00,2020,August,204,5,,
Grenada,13/08/2020 00:00,2020,August,0,,,
Guatemala,13/08/2020 00:00,2020,August,1195,29,,
Guyana,13/08/2020 00:00,2020,August,8,0,,
Haiti,13/08/2020 00:00,2020,August,94,4,,
Honduras,13/08/2020 00:00,2020,August,385,9,,
Hungary,13/08/2020 00:00,2020,August,45,2,66,
Iceland,13/08/2020 00:00,2020,August,4,0,1,
Ireland,13/08/2020 00:00,2020,August,91,0,12,
Italy,13/08/2020 00:00,2020,August,522,6,841,
Jamaica,13/08/2020 00:00,2020,August,6,0,,
Kosovo,13/08/2020 00:00,2020,August,193,8,,
Latvia,13/08/2020 00:00,2020,August,4,0,3,
Liechtenstein,13/08/2020 00:00,2020,August,0,0,,
Lithuania,13/08/2020 00:00,2020,August,21,0,,
Luxembourg,13/08/2020 00:00,2020,August,68,0,38,
Malta,13/08/2020 00:00,2020,August,55,0,,
Mexico,13/08/2020 00:00,2020,August,7371,627,,
Moldova,13/08/2020 00:00,2020,August,390,15,,
Monaco,13/08/2020 00:00,2020,August,3,0,,
Montenegro,13/08/2020 00:00,2020,August,44,0,,
Netherlands,13/08/2020 00:00,2020,August,688,5,127,
Nicaragua,13/08/2020 00:00,2020,August,0,0,,
North Macedonia,13/08/2020 00:00,2020,August,140,2,,
Norway,13/08/2020 00:00,2020,August,68,1,12,
Panama,13/08/2020 00:00,2020,August,1069,19,,
Paraguay,13/08/2020 00:00,2020,August,371,4,,
Peru,13/08/2020 00:00,2020,August,8875,212,,
Poland,13/08/2020 00:00,2020,August,811,14,2059,
Portugal,13/08/2020 00:00,2020,August,325,6,358,
Romania,13/08/2020 00:00,2020,August,1454,53,,
Russia,13/08/2020 00:00,2020,August,5017,122,,
Saint Kitts and Nevis,13/08/2020 00:00,2020,August,0,,,
Saint Lucia,13/08/2020 00:00,2020,August,0,,,
Saint Vincent and the Grenadines,13/08/2020 00:00,2020,August,0,,,
San Marino,13/08/2020 00:00,2020,August,0,0,,
Serbia,13/08/2020 00:00,2020,August,247,3,,
Slovakia,13/08/2020 00:00,2020,August,49,0,32,
Slovenia,13/08/2020 00:00,2020,August,29,0,19,
Spain,13/08/2020 00:00,2020,August,7550,26,,
Suriname,13/08/2020 00:00,2020,August,108,1,,
Sweden,13/08/2020 00:00,2020,August,362,2,215,
Switzerland,13/08/2020 00:00,2020,August,234,0,,
Trinidad and Tobago,13/08/2020 00:00,2020,August,78,0,,
Ukraine,13/08/2020 00:00,2020,August,1632,24,,
United Kingdom,13/08/2020 00:00,2020,August,1148,18,1007,
United States,13/08/2020 00:00,2020,August,51314,1067,41024,
Uruguay,13/08/2020 00:00,2020,August,16,0,,
Vatican,13/08/2020 00:00,2020,August,0,,,
Venezuela,13/08/2020 00:00,2020,August,1281,12,,
Albania,14/08/2020 00:00,2020,August,146,6,,
Andorra,14/08/2020 00:00,2020,August,8,0,,
Antigua and Barbuda,14/08/2020 00:00,2020,August,1,0,,
Argentina,14/08/2020 00:00,2020,August,6365,165,,
Austria,14/08/2020 00:00,2020,August,282,0,91,
Bahamas,14/08/2020 00:00,2020,August,30,2,,
Barbados,14/08/2020 00:00,2020,August,4,0,,
Belarus,14/08/2020 00:00,2020,August,105,4,,
Belgium,14/08/2020 00:00,2020,August,922,8,312,
Belize,14/08/2020 00:00,2020,August,60,1,,
Bolivia,14/08/2020 00:00,2020,August,1491,55,,
Bosnia and Herzegovina,14/08/2020 00:00,2020,August,351,11,,
Brazil,14/08/2020 00:00,2020,August,50644,1060,,
Bulgaria,14/08/2020 00:00,2020,August,350,10,824,
Canada,14/08/2020 00:00,2020,August,425,4,271,
Chile,14/08/2020 00:00,2020,August,2077,41,,
Colombia,14/08/2020 00:00,2020,August,11306,347,,
Costa Rica,14/08/2020 00:00,2020,August,802,9,,
Croatia,14/08/2020 00:00,2020,August,208,2,106,
Cuba,14/08/2020 00:00,2020,August,55,-1,,
Cyprus,14/08/2020 00:00,2020,August,13,0,3,
Czechia,14/08/2020 00:00,2020,August,292,3,113,
Denmark,14/08/2020 00:00,2020,August,168,0,14,
Dominica,14/08/2020 00:00,2020,August,0,,,
Dominican Republic,14/08/2020 00:00,2020,August,1354,16,,
Ecuador,14/08/2020 00:00,2020,August,1066,20,,
El Salvador,14/08/2020 00:00,2020,August,321,11,,
Estonia,14/08/2020 00:00,2020,August,3,0,8,
Finland,14/08/2020 00:00,2020,August,17,0,6,
France,14/08/2020 00:00,2020,August,2923,19,4788,
Germany,14/08/2020 00:00,2020,August,1510,13,,
Greece,14/08/2020 00:00,2020,August,251,2,,
Grenada,14/08/2020 00:00,2020,August,0,,,
Guatemala,14/08/2020 00:00,2020,August,1144,45,,
Guyana,14/08/2020 00:00,2020,August,18,0,,
Haiti,14/08/2020 00:00,2020,August,38,5,,
Honduras,14/08/2020 00:00,2020,August,425,6,,
Hungary,14/08/2020 00:00,2020,August,40,0,64,
Iceland,14/08/2020 00:00,2020,August,7,0,1,
Ireland,14/08/2020 00:00,2020,August,66,0,11,
Italy,14/08/2020 00:00,2020,August,574,3,827,
Jamaica,14/08/2020 00:00,2020,August,11,0,,
Kosovo,14/08/2020 00:00,2020,August,142,8,,
Latvia,14/08/2020 00:00,2020,August,1,0,3,
Liechtenstein,14/08/2020 00:00,2020,August,1,0,,
Lithuania,14/08/2020 00:00,2020,August,22,0,,
Luxembourg,14/08/2020 00:00,2020,August,37,0,44,
Malta,14/08/2020 00:00,2020,August,31,0,,
Mexico,14/08/2020 00:00,2020,August,5618,615,,
Moldova,14/08/2020 00:00,2020,August,396,6,,
Monaco,14/08/2020 00:00,2020,August,2,0,,
Montenegro,14/08/2020 00:00,2020,August,73,0,,
Netherlands,14/08/2020 00:00,2020,August,721,2,120,
Nicaragua,14/08/2020 00:00,2020,August,0,0,,
North Macedonia,14/08/2020 00:00,2020,August,158,3,,
Norway,14/08/2020 00:00,2020,August,57,4,8,
Panama,14/08/2020 00:00,2020,August,956,12,,
Paraguay,14/08/2020 00:00,2020,August,633,11,,
Peru,14/08/2020 00:00,2020,August,17741,4143,,
Poland,14/08/2020 00:00,2020,August,832,14,2040,
Portugal,14/08/2020 00:00,2020,August,235,2,348,
Romania,14/08/2020 00:00,2020,August,1415,44,,
Russia,14/08/2020 00:00,2020,August,5016,114,,
Saint Kitts and Nevis,14/08/2020 00:00,2020,August,0,,,
Saint Lucia,14/08/2020 00:00,2020,August,0,,,
Saint Vincent and the Grenadines,14/08/2020 00:00,2020,August,0,,,
San Marino,14/08/2020 00:00,2020,August,0,0,,
Serbia,14/08/2020 00:00,2020,August,235,4,,
Slovakia,14/08/2020 00:00,2020,August,62,0,32,
Slovenia,14/08/2020 00:00,2020,August,37,0,18,
Spain,14/08/2020 00:00,2020,August,5479,12,,
Suriname,14/08/2020 00:00,2020,August,77,1,,
Sweden,14/08/2020 00:00,2020,August,344,7,209,
Switzerland,14/08/2020 00:00,2020,August,268,0,,
Trinidad and Tobago,14/08/2020 00:00,2020,August,22,2,,
Ukraine,14/08/2020 00:00,2020,August,1781,19,,
United Kingdom,14/08/2020 00:00,2020,August,1461,11,994,
United States,14/08/2020 00:00,2020,August,65340,1337,39918,
Uruguay,14/08/2020 00:00,2020,August,12,1,,
Vatican,14/08/2020 00:00,2020,August,0,,,
Venezuela,14/08/2020 00:00,2020,August,1012,7,,
Albania,15/08/2020 00:00,2020,August,143,6,,
Andorra,15/08/2020 00:00,2020,August,0,0,,
Antigua and Barbuda,15/08/2020 00:00,2020,August,0,0,,
Argentina,15/08/2020 00:00,2020,August,6663,110,,
Austria,15/08/2020 00:00,2020,August,303,3,83,
Bahamas,15/08/2020 00:00,2020,August,133,0,,
Barbados,15/08/2020 00:00,2020,August,2,0,,
Belarus,15/08/2020 00:00,2020,August,0,0,,
Belgium,15/08/2020 00:00,2020,August,756,11,309,
Belize,15/08/2020 00:00,2020,August,32,0,,
Bolivia,15/08/2020 00:00,2020,August,1196,64,,
Bosnia and Herzegovina,15/08/2020 00:00,2020,August,266,2,,
Brazil,15/08/2020 00:00,2020,August,41576,709,,
Bulgaria,15/08/2020 00:00,2020,August,90,3,811,
Canada,15/08/2020 00:00,2020,August,220,6,265,
Chile,15/08/2020 00:00,2020,August,1791,55,,
Colombia,15/08/2020 00:00,2020,August,11578,318,,
Costa Rica,15/08/2020 00:00,2020,August,806,10,,
Croatia,15/08/2020 00:00,2020,August,162,2,118,
Cuba,15/08/2020 00:00,2020,August,63,0,,
Cyprus,15/08/2020 00:00,2020,August,14,0,3,
Czechia,15/08/2020 00:00,2020,August,198,1,103,
Denmark,15/08/2020 00:00,2020,August,109,0,14,
Dominica,15/08/2020 00:00,2020,August,0,,,
Dominican Republic,15/08/2020 00:00,2020,August,1057,29,,
Ecuador,15/08/2020 00:00,2020,August,1279,35,,
El Salvador,15/08/2020 00:00,2020,August,305,8,,
Estonia,15/08/2020 00:00,2020,August,7,0,7,
Finland,15/08/2020 00:00,2020,August,20,0,,
France,15/08/2020 00:00,2020,August,3210,1,4817,
Germany,15/08/2020 00:00,2020,August,697,5,,
Greece,15/08/2020 00:00,2020,August,226,3,,
Grenada,15/08/2020 00:00,2020,August,0,,,
Guatemala,15/08/2020 00:00,2020,August,885,14,,
Guyana,15/08/2020 00:00,2020,August,25,0,,
Haiti,15/08/2020 00:00,2020,August,29,0,,
Honduras,15/08/2020 00:00,2020,August,512,19,,
Hungary,15/08/2020 00:00,2020,August,24,0,63,
Iceland,15/08/2020 00:00,2020,August,16,0,,
Ireland,15/08/2020 00:00,2020,August,196,0,15,
Italy,15/08/2020 00:00,2020,August,629,158,819,
Jamaica,15/08/2020 00:00,2020,August,0,0,,
Kosovo,15/08/2020 00:00,2020,August,145,9,,
Latvia,15/08/2020 00:00,2020,August,7,0,4,
Liechtenstein,15/08/2020 00:00,2020,August,0,0,,
Lithuania,15/08/2020 00:00,2020,August,33,0,,
Luxembourg,15/08/2020 00:00,2020,August,34,1,32,
Malta,15/08/2020 00:00,2020,August,72,0,,
Mexico,15/08/2020 00:00,2020,August,6345,635,,
Moldova,15/08/2020 00:00,2020,August,422,11,,
Monaco,15/08/2020 00:00,2020,August,0,0,,
Montenegro,15/08/2020 00:00,2020,August,30,2,,
Netherlands,15/08/2020 00:00,2020,August,762,2,124,
Nicaragua,15/08/2020 00:00,2020,August,0,0,,
North Macedonia,15/08/2020 00:00,2020,August,138,4,,
Norway,15/08/2020 00:00,2020,August,57,0,,
Panama,15/08/2020 00:00,2020,August,1263,12,,
Paraguay,15/08/2020 00:00,2020,August,359,19,,
Peru,15/08/2020 00:00,2020,August,0,0,,
Poland,15/08/2020 00:00,2020,August,771,11,2028,
Portugal,15/08/2020 00:00,2020,August,198,3,320,
Romania,15/08/2020 00:00,2020,August,1328,50,,
Russia,15/08/2020 00:00,2020,August,5030,118,,
Saint Kitts and Nevis,15/08/2020 00:00,2020,August,0,,,
Saint Lucia,15/08/2020 00:00,2020,August,0,,,
Saint Vincent and the Grenadines,15/08/2020 00:00,2020,August,0,,,
San Marino,15/08/2020 00:00,2020,August,0,0,,
Serbia,15/08/2020 00:00,2020,August,238,5,,
Slovakia,15/08/2020 00:00,2020,August,54,0,33,
Slovenia,15/08/2020 00:00,2020,August,32,0,16,
Spain,15/08/2020 00:00,2020,August,0,0,,
Suriname,15/08/2020 00:00,2020,August,123,1,,
Sweden,15/08/2020 00:00,2020,August,226,0,209,
Switzerland,15/08/2020 00:00,2020,August,253,0,,
Trinidad and Tobago,15/08/2020 00:00,2020,August,71,0,,
Ukraine,15/08/2020 00:00,2020,August,1878,34,,
United Kingdom,15/08/2020 00:00,2020,August,1042,3,973,
United States,15/08/2020 00:00,2020,August,46921,1000,38700,
Uruguay,15/08/2020 00:00,2020,August,13,0,,
Vatican,15/08/2020 00:00,2020,August,0,,,
Venezuela,15/08/2020 00:00,2020,August,1226,10,,
Albania,16/08/2020 00:00,2020,August,120,3,,
Andorra,16/08/2020 00:00,2020,August,0,0,,
Antigua and Barbuda,16/08/2020 00:00,2020,August,0,0,,
Argentina,16/08/2020 00:00,2020,August,5469,66,,
Austria,16/08/2020 00:00,2020,August,191,0,65,
Bahamas,16/08/2020 00:00,2020,August,63,1,,
Barbados,16/08/2020 00:00,2020,August,1,0,,
Belarus,16/08/2020 00:00,2020,August,208,7,,
Belgium,16/08/2020 00:00,2020,August,454,4,337,
Belize,16/08/2020 00:00,2020,August,64,0,,
Bolivia,16/08/2020 00:00,2020,August,1198,55,,
Bosnia and Herzegovina,16/08/2020 00:00,2020,August,0,0,,
Brazil,16/08/2020 00:00,2020,August,23101,620,,
Bulgaria,16/08/2020 00:00,2020,August,32,3,811,
Canada,16/08/2020 00:00,2020,August,179,5,263,
Chile,16/08/2020 00:00,2020,August,2044,57,,
Colombia,16/08/2020 00:00,2020,August,11643,287,,
Costa Rica,16/08/2020 00:00,2020,August,728,3,,
Croatia,16/08/2020 00:00,2020,August,151,1,126,
Cuba,16/08/2020 00:00,2020,August,24,0,,
Cyprus,16/08/2020 00:00,2020,August,7,0,2,
Czechia,16/08/2020 00:00,2020,August,121,2,101,
Denmark,16/08/2020 00:00,2020,August,136,0,12,
Dominica,16/08/2020 00:00,2020,August,0,,,
Dominican Republic,16/08/2020 00:00,2020,August,764,15,,
Ecuador,16/08/2020 00:00,2020,August,854,5,,
El Salvador,16/08/2020 00:00,2020,August,293,9,,
Estonia,16/08/2020 00:00,2020,August,6,0,6,
Finland,16/08/2020 00:00,2020,August,11,0,,
France,16/08/2020 00:00,2020,August,3003,1,4820,
Germany,16/08/2020 00:00,2020,August,519,0,,
Greece,16/08/2020 00:00,2020,August,217,2,,
Grenada,16/08/2020 00:00,2020,August,0,,,
Guatemala,16/08/2020 00:00,2020,August,249,24,,
Guyana,16/08/2020 00:00,2020,August,35,1,,
Haiti,16/08/2020 00:00,2020,August,21,4,,
Honduras,16/08/2020 00:00,2020,August,523,8,,
Hungary,16/08/2020 00:00,2020,August,39,1,62,
Iceland,16/08/2020 00:00,2020,August,12,0,,
Ireland,16/08/2020 00:00,2020,August,66,0,16,
Italy,16/08/2020 00:00,2020,August,477,4,843,
Jamaica,16/08/2020 00:00,2020,August,31,0,,
Kosovo,16/08/2020 00:00,2020,August,141,11,,
Latvia,16/08/2020 00:00,2020,August,7,0,4,
Liechtenstein,16/08/2020 00:00,2020,August,0,0,,
Lithuania,16/08/2020 00:00,2020,August,30,0,,
Luxembourg,16/08/2020 00:00,2020,August,19,0,37,
Malta,16/08/2020 00:00,2020,August,-42,0,,
Mexico,16/08/2020 00:00,2020,August,4448,214,,
Moldova,16/08/2020 00:00,2020,August,278,1,,
Monaco,16/08/2020 00:00,2020,August,0,0,,
Montenegro,16/08/2020 00:00,2020,August,75,2,,
Netherlands,16/08/2020 00:00,2020,August,579,3,122,
Nicaragua,16/08/2020 00:00,2020,August,0,0,,
North Macedonia,16/08/2020 00:00,2020,August,86,5,,
Norway,16/08/2020 00:00,2020,August,40,0,,
Panama,16/08/2020 00:00,2020,August,1275,21,,
Paraguay,16/08/2020 00:00,2020,August,410,11,,
Peru,16/08/2020 00:00,2020,August,9507,219,,
Poland,16/08/2020 00:00,2020,August,594,8,2035,
Portugal,16/08/2020 00:00,2020,August,121,3,325,
Romania,16/08/2020 00:00,2020,August,1087,37,,
Russia,16/08/2020 00:00,2020,August,4911,68,,
Saint Kitts and Nevis,16/08/2020 00:00,2020,August,0,,,
Saint Lucia,16/08/2020 00:00,2020,August,0,,,
Saint Vincent and the Grenadines,16/08/2020 00:00,2020,August,0,,,
San Marino,16/08/2020 00:00,2020,August,0,0,,
Serbia,16/08/2020 00:00,2020,August,211,4,,
Slovakia,16/08/2020 00:00,2020,August,47,0,35,
Slovenia,16/08/2020 00:00,2020,August,15,0,17,
Spain,16/08/2020 00:00,2020,August,0,0,,
Suriname,16/08/2020 00:00,2020,August,55,5,,
Sweden,16/08/2020 00:00,2020,August,63,0,211,
Switzerland,16/08/2020 00:00,2020,August,200,0,,
Trinidad and Tobago,16/08/2020 00:00,2020,August,55,1,,
Ukraine,16/08/2020 00:00,2020,August,1695,24,,
United Kingdom,16/08/2020 00:00,2020,August,1111,5,978,
United States,16/08/2020 00:00,2020,August,39192,617,38759,
Uruguay,16/08/2020 00:00,2020,August,6,0,,
Vatican,16/08/2020 00:00,2020,August,0,,,
Venezuela,16/08/2020 00:00,2020,August,1148,5,,
Albania,17/08/2020 00:00,2020,August,119,2,,
Andorra,17/08/2020 00:00,2020,August,16,0,,
Antigua and Barbuda,17/08/2020 00:00,2020,August,0,0,,
Argentina,17/08/2020 00:00,2020,August,4557,111,,
Austria,17/08/2020 00:00,2020,August,164,1,91,
Bahamas,17/08/2020 00:00,2020,August,14,1,,
Barbados,17/08/2020 00:00,2020,August,1,0,,
Belarus,17/08/2020 00:00,2020,August,73,3,,
Belgium,17/08/2020 00:00,2020,August,211,5,341,
Belize,17/08/2020 00:00,2020,August,23,1,,
Bolivia,17/08/2020 00:00,2020,August,879,65,,
Bosnia and Herzegovina,17/08/2020 00:00,2020,August,310,15,,
Brazil,17/08/2020 00:00,2020,August,19373,684,,
Bulgaria,17/08/2020 00:00,2020,August,135,14,807,
Canada,17/08/2020 00:00,2020,August,214,2,245,
Chile,17/08/2020 00:00,2020,August,1556,61,,
Colombia,17/08/2020 00:00,2020,August,8328,275,,
Costa Rica,17/08/2020 00:00,2020,August,619,10,,
Croatia,17/08/2020 00:00,2020,August,85,0,126,
Cuba,17/08/2020 00:00,2020,August,48,0,,
Cyprus,17/08/2020 00:00,2020,August,12,0,2,
Czechia,17/08/2020 00:00,2020,August,190,2,113,
Denmark,17/08/2020 00:00,2020,August,124,0,16,
Dominica,17/08/2020 00:00,2020,August,0,,,
Dominican Republic,17/08/2020 00:00,2020,August,428,28,,
Ecuador,17/08/2020 00:00,2020,August,209,13,,
El Salvador,17/08/2020 00:00,2020,August,281,6,,
Estonia,17/08/2020 00:00,2020,August,2,0,7,
Finland,17/08/2020 00:00,2020,August,21,1,5,
France,17/08/2020 00:00,2020,August,650,20,4885,
Germany,17/08/2020 00:00,2020,August,1693,1,,
Greece,17/08/2020 00:00,2020,August,147,2,,
Grenada,17/08/2020 00:00,2020,August,0,,,
Guatemala,17/08/2020 00:00,2020,August,382,10,,
Guyana,17/08/2020 00:00,2020,August,0,0,,
Haiti,17/08/2020 00:00,2020,August,48,0,,
Honduras,17/08/2020 00:00,2020,August,493,8,,
Hungary,17/08/2020 00:00,2020,August,30,0,62,
Iceland,17/08/2020 00:00,2020,August,3,0,1,
Ireland,17/08/2020 00:00,2020,August,56,0,21,
Italy,17/08/2020 00:00,2020,August,320,4,868,
Jamaica,17/08/2020 00:00,2020,August,16,0,,
Kosovo,17/08/2020 00:00,2020,August,129,9,,
Latvia,17/08/2020 00:00,2020,August,1,0,5,
Liechtenstein,17/08/2020 00:00,2020,August,3,0,,
Lithuania,17/08/2020 00:00,2020,August,21,0,,
Luxembourg,17/08/2020 00:00,2020,August,11,1,32,
Malta,17/08/2020 00:00,2020,August,69,0,,
Mexico,17/08/2020 00:00,2020,August,3571,266,,
Moldova,17/08/2020 00:00,2020,August,194,12,,
Monaco,17/08/2020 00:00,2020,August,2,0,,
Montenegro,17/08/2020 00:00,2020,August,50,3,,
Netherlands,17/08/2020 00:00,2020,August,512,0,126,
Nicaragua,17/08/2020 00:00,2020,August,0,0,,
North Macedonia,17/08/2020 00:00,2020,August,101,3,,
Norway,17/08/2020 00:00,2020,August,55,0,14,
Panama,17/08/2020 00:00,2020,August,603,21,,
Paraguay,17/08/2020 00:00,2020,August,344,7,,
Peru,17/08/2020 00:00,2020,August,10143,206,,
Poland,17/08/2020 00:00,2020,August,595,8,2040,
Portugal,17/08/2020 00:00,2020,August,132,1,336,
Romania,17/08/2020 00:00,2020,August,733,38,,
Russia,17/08/2020 00:00,2020,August,4839,54,,
Saint Kitts and Nevis,17/08/2020 00:00,2020,August,0,,,
Saint Lucia,17/08/2020 00:00,2020,August,0,,,
Saint Vincent and the Grenadines,17/08/2020 00:00,2020,August,1,,,
San Marino,17/08/2020 00:00,2020,August,0,0,,
Serbia,17/08/2020 00:00,2020,August,100,3,,
Slovakia,17/08/2020 00:00,2020,August,5,0,37,
Slovenia,17/08/2020 00:00,2020,August,13,0,19,
Spain,17/08/2020 00:00,2020,August,16269,29,,
Suriname,17/08/2020 00:00,2020,August,61,1,,
Sweden,17/08/2020 00:00,2020,August,174,0,215,
Switzerland,17/08/2020 00:00,2020,August,128,0,,
Trinidad and Tobago,17/08/2020 00:00,2020,August,36,1,,
Ukraine,17/08/2020 00:00,2020,August,1517,22,,
United Kingdom,17/08/2020 00:00,2020,August,721,3,981,
United States,17/08/2020 00:00,2020,August,36676,493,38979,
Uruguay,17/08/2020 00:00,2020,August,17,2,,
Vatican,17/08/2020 00:00,2020,August,0,,,
Venezuela,17/08/2020 00:00,2020,August,1047,7,,
Albania,18/08/2020 00:00,2020,August,155,2,,
Andorra,18/08/2020 00:00,2020,August,0,0,,
Antigua and Barbuda,18/08/2020 00:00,2020,August,0,0,,
Argentina,18/08/2020 00:00,2020,August,6840,234,,
Austria,18/08/2020 00:00,2020,August,295,0,97,
Bahamas,18/08/2020 00:00,2020,August,95,1,,
Barbados,18/08/2020 00:00,2020,August,1,0,,
Belarus,18/08/2020 00:00,2020,August,84,4,,
Belgium,18/08/2020 00:00,2020,August,363,15,335,
Belize,18/08/2020 00:00,2020,August,0,0,,
Bolivia,18/08/2020 00:00,2020,August,1796,49,,
Bosnia and Herzegovina,18/08/2020 00:00,2020,August,240,9,,
Brazil,18/08/2020 00:00,2020,August,47784,1352,,
Bulgaria,18/08/2020 00:00,2020,August,169,7,768,
Canada,18/08/2020 00:00,2020,August,866,10,256,
Chile,18/08/2020 00:00,2020,August,1353,33,,
Colombia,18/08/2020 00:00,2020,August,12462,247,,
Costa Rica,18/08/2020 00:00,2020,August,559,10,,
Croatia,18/08/2020 00:00,2020,August,199,0,120,
Cuba,18/08/2020 00:00,2020,August,44,0,,
Cyprus,18/08/2020 00:00,2020,August,8,0,2,
Czechia,18/08/2020 00:00,2020,August,281,2,103,
Denmark,18/08/2020 00:00,2020,August,119,0,18,
Dominica,18/08/2020 00:00,2020,August,0,,,
Dominican Republic,18/08/2020 00:00,2020,August,386,8,,
Ecuador,18/08/2020 00:00,2020,August,1190,22,,
El Salvador,18/08/2020 00:00,2020,August,269,7,,
Estonia,18/08/2020 00:00,2020,August,8,0,7,
Finland,18/08/2020 00:00,2020,August,24,0,,
France,18/08/2020 00:00,2020,August,2119,22,4783,
Germany,18/08/2020 00:00,2020,August,1420,5,,
Greece,18/08/2020 00:00,2020,August,250,2,,
Grenada,18/08/2020 00:00,2020,August,0,,,
Guatemala,18/08/2020 00:00,2020,August,903,30,,
Guyana,18/08/2020 00:00,2020,August,28,2,,
Haiti,18/08/2020 00:00,2020,August,18,0,,
Honduras,18/08/2020 00:00,2020,August,675,10,,
Hungary,18/08/2020 00:00,2020,August,24,1,60,
Iceland,18/08/2020 00:00,2020,August,13,0,1,
Ireland,18/08/2020 00:00,2020,August,186,1,22,
Italy,18/08/2020 00:00,2020,August,401,5,901,
Jamaica,18/08/2020 00:00,2020,August,17,0,,
Kosovo,18/08/2020 00:00,2020,August,141,6,,
Latvia,18/08/2020 00:00,2020,August,0,1,5,
Liechtenstein,18/08/2020 00:00,2020,August,3,0,,
Lithuania,18/08/2020 00:00,2020,August,37,0,,
Luxembourg,18/08/2020 00:00,2020,August,30,0,33,
Malta,18/08/2020 00:00,2020,August,48,0,,
Mexico,18/08/2020 00:00,2020,August,5506,751,,
Moldova,18/08/2020 00:00,2020,August,412,0,,
Monaco,18/08/2020 00:00,2020,August,0,0,,
Montenegro,18/08/2020 00:00,2020,August,47,0,,
Netherlands,18/08/2020 00:00,2020,August,580,3,129,
Nicaragua,18/08/2020 00:00,2020,August,196,5,,
North Macedonia,18/08/2020 00:00,2020,August,130,2,,
Norway,18/08/2020 00:00,2020,August,51,1,12,
Panama,18/08/2020 00:00,2020,August,247,21,,
Paraguay,18/08/2020 00:00,2020,August,471,16,,
Peru,18/08/2020 00:00,2020,August,5547,200,,
Poland,18/08/2020 00:00,2020,August,597,11,2057,
Portugal,18/08/2020 00:00,2020,August,214,5,336,
Romania,18/08/2020 00:00,2020,August,1014,45,,
Russia,18/08/2020 00:00,2020,August,4718,129,,
Saint Kitts and Nevis,18/08/2020 00:00,2020,August,0,,,
Saint Lucia,18/08/2020 00:00,2020,August,1,,,
Saint Vincent and the Grenadines,18/08/2020 00:00,2020,August,0,,,
San Marino,18/08/2020 00:00,2020,August,3,0,,
Serbia,18/08/2020 00:00,2020,August,108,4,,
Slovakia,18/08/2020 00:00,2020,August,15,0,38,
Slovenia,18/08/2020 00:00,2020,August,27,0,16,
Spain,18/08/2020 00:00,2020,August,5114,24,,
Suriname,18/08/2020 00:00,2020,August,139,6,,
Sweden,18/08/2020 00:00,2020,August,314,7,215,
Switzerland,18/08/2020 00:00,2020,August,197,1,,
Trinidad and Tobago,18/08/2020 00:00,2020,August,41,0,,
Ukraine,18/08/2020 00:00,2020,August,1646,30,,
United Kingdom,18/08/2020 00:00,2020,August,1113,12,952,
United States,18/08/2020 00:00,2020,August,45034,1226,38911,
Uruguay,18/08/2020 00:00,2020,August,28,0,,
Vatican,18/08/2020 00:00,2020,August,0,,,
Venezuela,18/08/2020 00:00,2020,August,895,9,,
Albania,19/08/2020 00:00,2020,August,158,2,,
Andorra,19/08/2020 00:00,2020,August,19,0,,
Antigua and Barbuda,19/08/2020 00:00,2020,August,1,0,,
Argentina,19/08/2020 00:00,2020,August,6693,282,,
Austria,19/08/2020 00:00,2020,August,255,0,101,
Bahamas,19/08/2020 00:00,2020,August,107,2,,
Barbados,19/08/2020 00:00,2020,August,2,0,,
Belarus,19/08/2020 00:00,2020,August,128,5,,
Belgium,19/08/2020 00:00,2020,August,582,10,334,
Belize,19/08/2020 00:00,2020,August,78,0,,
Bolivia,19/08/2020 00:00,2020,August,2031,61,,
Bosnia and Herzegovina,19/08/2020 00:00,2020,August,340,12,,
Brazil,19/08/2020 00:00,2020,August,49298,1212,,
Bulgaria,19/08/2020 00:00,2020,August,151,8,782,
