Location,Date,Year,Month,NewCases,NewDeaths,HospitalPatients,Vaccinations
Spain,09/02/2020 00:00,2020,February,1,,,
Sweden,09/02/2020 00:00,2020,February,0,,,
United Kingdom,09/02/2020 00:00,2020,February,1,,,
United States,09/02/2020 00:00,2020,February,0,,,
Belgium,10/02/2020 00:00,2020,February,0,,,
Canada,10/02/2020 00:00,2020,February,0,,,
Finland,10/02/2020 00:00,2020,February,0,,,
France,10/02/2020 00:00,2020,February,0,,11,
Germany,10/02/2020 00:00,2020,February,0,,,
Italy,10/02/2020 00:00,2020,February,0,,,
Russia,10/02/2020 00:00,2020,February,0,,,
Spain,10/02/2020 00:00,2020,February,0,,,
Sweden,10/02/2020 00:00,2020,February,0,,,
United Kingdom,10/02/2020 00:00,2020,February,0,,,
United States,10/02/2020 00:00,2020,February,0,,,
Belgium,11/02/2020 00:00,2020,February,0,,,
Canada,11/02/2020 00:00,2020,February,0,,,
Finland,11/02/2020 00:00,2020,February,0,,,
France,11/02/2020 00:00,2020,February,0,,11,
Germany,11/02/2020 00:00,2020,February,2,,,
Italy,11/02/2020 00:00,2020,February,0,,,
Russia,11/02/2020 00:00,2020,February,0,,,
Spain,11/02/2020 00:00,2020,February,0,,,
Sweden,11/02/2020 00:00,2020,February,0,,,
United Kingdom,11/02/2020 00:00,2020,February,1,,,
United States,11/02/2020 00:00,2020,February,1,,,
Belgium,12/02/2020 00:00,2020,February,0,,,
Canada,12/02/2020 00:00,2020,February,0,,,
Estonia,12/02/2020 00:00,2020,February,0,,1,
Finland,12/02/2020 00:00,2020,February,0,,,
France,12/02/2020 00:00,2020,February,0,,11,
Germany,12/02/2020 00:00,2020,February,0,,,
Italy,12/02/2020 00:00,2020,February,0,,,
Russia,12/02/2020 00:00,2020,February,0,,,
Spain,12/02/2020 00:00,2020,February,0,,,
Sweden,12/02/2020 00:00,2020,February,0,,,
United Kingdom,12/02/2020 00:00,2020,February,1,,,
United States,12/02/2020 00:00,2020,February,0,,,
Belgium,13/02/2020 00:00,2020,February,0,,,
Canada,13/02/2020 00:00,2020,February,0,,,
Finland,13/02/2020 00:00,2020,February,0,,,
France,13/02/2020 00:00,2020,February,0,,8,
Germany,13/02/2020 00:00,2020,February,0,,,
Italy,13/02/2020 00:00,2020,February,0,,,
Russia,13/02/2020 00:00,2020,February,0,,,
Spain,13/02/2020 00:00,2020,February,0,,,
Sweden,13/02/2020 00:00,2020,February,0,,,
United Kingdom,13/02/2020 00:00,2020,February,1,,,
United States,13/02/2020 00:00,2020,February,1,,,
Belgium,14/02/2020 00:00,2020,February,0,,,
Canada,14/02/2020 00:00,2020,February,0,,,
Finland,14/02/2020 00:00,2020,February,0,,,
France,14/02/2020 00:00,2020,February,0,,,
Germany,14/02/2020 00:00,2020,February,0,,,
Italy,14/02/2020 00:00,2020,February,0,,,
Russia,14/02/2020 00:00,2020,February,0,,,
Spain,14/02/2020 00:00,2020,February,0,,,
Sweden,14/02/2020 00:00,2020,February,0,,,
United Kingdom,14/02/2020 00:00,2020,February,1,,,
United States,14/02/2020 00:00,2020,February,0,,,
Belgium,15/02/2020 00:00,2020,February,0,,,
Canada,15/02/2020 00:00,2020,February,0,,,
Finland,15/02/2020 00:00,2020,February,0,,,
France,15/02/2020 00:00,2020,February,1,1,7,
Germany,15/02/2020 00:00,2020,February,0,,,
Italy,15/02/2020 00:00,2020,February,0,,,
Russia,15/02/2020 00:00,2020,February,0,,,
Spain,15/02/2020 00:00,2020,February,0,,,
Sweden,15/02/2020 00:00,2020,February,0,,,
United Kingdom,15/02/2020 00:00,2020,February,0,,,
United States,15/02/2020 00:00,2020,February,0,,,
Belgium,16/02/2020 00:00,2020,February,0,,,
Canada,16/02/2020 00:00,2020,February,0,,,
Finland,16/02/2020 00:00,2020,February,0,,,
France,16/02/2020 00:00,2020,February,0,0,,
Germany,16/02/2020 00:00,2020,February,0,,,
Italy,16/02/2020 00:00,2020,February,0,,,
Russia,16/02/2020 00:00,2020,February,0,,,
Spain,16/02/2020 00:00,2020,February,0,,,
Sweden,16/02/2020 00:00,2020,February,0,,,
United Kingdom,16/02/2020 00:00,2020,February,0,,,
United States,16/02/2020 00:00,2020,February,0,,,
Belgium,17/02/2020 00:00,2020,February,0,,,
Canada,17/02/2020 00:00,2020,February,1,,,
Finland,17/02/2020 00:00,2020,February,0,,,
France,17/02/2020 00:00,2020,February,0,0,,
Germany,17/02/2020 00:00,2020,February,0,,,
Italy,17/02/2020 00:00,2020,February,0,,,
Russia,17/02/2020 00:00,2020,February,0,,,
Spain,17/02/2020 00:00,2020,February,0,,,
Sweden,17/02/2020 00:00,2020,February,0,,,
United Kingdom,17/02/2020 00:00,2020,February,1,,,
United States,17/02/2020 00:00,2020,February,0,,,
Belgium,18/02/2020 00:00,2020,February,0,,,
Canada,18/02/2020 00:00,2020,February,0,,,
Finland,18/02/2020 00:00,2020,February,0,,,
France,18/02/2020 00:00,2020,February,0,0,,
Germany,18/02/2020 00:00,2020,February,0,,,
Italy,18/02/2020 00:00,2020,February,0,,,
Russia,18/02/2020 00:00,2020,February,0,,,
Spain,18/02/2020 00:00,2020,February,0,,,
Sweden,18/02/2020 00:00,2020,February,0,,,
United Kingdom,18/02/2020 00:00,2020,February,0,,,
United States,18/02/2020 00:00,2020,February,0,,,
Belgium,19/02/2020 00:00,2020,February,0,,,
Canada,19/02/2020 00:00,2020,February,0,,,
Finland,19/02/2020 00:00,2020,February,0,,,
France,19/02/2020 00:00,2020,February,0,0,4,
Germany,19/02/2020 00:00,2020,February,0,,,
Italy,19/02/2020 00:00,2020,February,0,,,
Russia,19/02/2020 00:00,2020,February,0,,,
Spain,19/02/2020 00:00,2020,February,0,,,
Sweden,19/02/2020 00:00,2020,February,0,,,
United Kingdom,19/02/2020 00:00,2020,February,1,,,
United States,19/02/2020 00:00,2020,February,0,,,
Belgium,20/02/2020 00:00,2020,February,0,,,
Canada,20/02/2020 00:00,2020,February,0,,,
Finland,20/02/2020 00:00,2020,February,0,,,
France,20/02/2020 00:00,2020,February,0,0,11,
Germany,20/02/2020 00:00,2020,February,0,,,
Italy,20/02/2020 00:00,2020,February,0,,,
Russia,20/02/2020 00:00,2020,February,0,,,
Spain,20/02/2020 00:00,2020,February,0,,,
Sweden,20/02/2020 00:00,2020,February,0,,,
United Kingdom,20/02/2020 00:00,2020,February,2,,,
United States,20/02/2020 00:00,2020,February,0,,,
Belgium,21/02/2020 00:00,2020,February,0,,,
Canada,21/02/2020 00:00,2020,February,1,,,
Finland,21/02/2020 00:00,2020,February,0,,,
France,21/02/2020 00:00,2020,February,0,0,1,
Germany,21/02/2020 00:00,2020,February,0,,,
Italy,21/02/2020 00:00,2020,February,17,1,,
Russia,21/02/2020 00:00,2020,February,0,,,
Spain,21/02/2020 00:00,2020,February,0,,,
Sweden,21/02/2020 00:00,2020,February,0,,,
United Kingdom,21/02/2020 00:00,2020,February,1,,,
United States,21/02/2020 00:00,2020,February,2,,,
Belgium,22/02/2020 00:00,2020,February,0,,,
Canada,22/02/2020 00:00,2020,February,0,,,
Finland,22/02/2020 00:00,2020,February,0,,,
France,22/02/2020 00:00,2020,February,0,0,,
Germany,22/02/2020 00:00,2020,February,0,,,
Italy,22/02/2020 00:00,2020,February,42,1,,
Russia,22/02/2020 00:00,2020,February,0,,,
Spain,22/02/2020 00:00,2020,February,0,,,
Sweden,22/02/2020 00:00,2020,February,0,,,
United Kingdom,22/02/2020 00:00,2020,February,0,,,
United States,22/02/2020 00:00,2020,February,0,,,
Belgium,23/02/2020 00:00,2020,February,0,,,
Canada,23/02/2020 00:00,2020,February,0,,,
Chile,23/02/2020 00:00,2020,February,2,,,
Finland,23/02/2020 00:00,2020,February,0,,,
France,23/02/2020 00:00,2020,February,0,0,1,
Germany,23/02/2020 00:00,2020,February,0,,,
Italy,23/02/2020 00:00,2020,February,93,1,,
Russia,23/02/2020 00:00,2020,February,0,,,
Spain,23/02/2020 00:00,2020,February,0,,,
Sweden,23/02/2020 00:00,2020,February,0,,,
United Kingdom,23/02/2020 00:00,2020,February,5,,,
United States,23/02/2020 00:00,2020,February,0,,,
Belgium,24/02/2020 00:00,2020,February,0,,,
Canada,24/02/2020 00:00,2020,February,1,,,
Chile,24/02/2020 00:00,2020,February,0,,,
Finland,24/02/2020 00:00,2020,February,0,,,
France,24/02/2020 00:00,2020,February,0,0,,
